;Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23)
-4;96,77797;;;;;;;;95,3563147;109,902515;;107,529902;81,95066;105,1657;119,569104;109,330787;98,84498;96,84599;91,61172;101,6746;;87,15433;;;;;;;;;84,12094;;;;103,184135;;93,5030584;118,0687;107,4351;97,02164;86,80697;97,72788;98,1139;103,4808;103,7718;108,6731;85,71409;101,3511;92,16107;100,8956;93,89147;105,87;85,36108;100,072;99,22724;92,53701;84,56243;;;
-3;91,84628;;;;;;;;101,005159;84,4057862;;93,4300597;83,93752;107,761576;105,929486;100,37279;114,3864;109,8041;123,1088;100,6436;;116,333;;;;;;;;;92,27407;;;;77,5079936;;111,411589;101,9246;94,58125;116,8042;110,0018;104,4762;105,9097;92,09673;101,0737;97,10912;95,36286;101,0465;117,4048;99,74466;105,8757;96,46521;108,7289;100,9149;94,8593;100,7624;108,7774;;;
-2;101,4306;;;;;;;;98,9908102;101,346436;;100,054697;102,8514;83,7818155;99,1936617;103,586492;97,08567;93,13594;95,96241;102,9182;;102,6048;;;;;;;;;113,8532;;;;157,262767;;98,4037993;92,75068;80,445;101,219;91,5487;94,08405;99,66274;99,55708;110,6971;84,63294;94,41908;96,47833;93,29439;106,653;97,33635;85,85006;108,6284;108,3393;98,1182;96,50075;106,6633;;;
-1;124,4483;;;;;;;;101,874047;105,7469;;95,8370806;117,8659;112,790833;93,105383;95,5334466;97,56536;98,6914;84,37116;93,28902;;95,51845;;;;;;;;;101,1505;;;;91,6830763;;97,4047552;89,35148;97,13903;103,5051;115,9213;99,57234;106,2075;100,9664;96,81437;103,7055;124,1181;100,7103;101,0617;92,20611;102,2052;106,475;84,77145;97,72291;101,4614;104,8022;95,91518;;;
0;85,49681;;;;;;;;102,77367;98,5983623;;103,14826;113,3946;90,5000753;82,2023645;91,1764841;92,11755;101,5226;104,9459;101,4747;;98,38946;;;;;;;;;108,6012;;;;70,3620274;;99,276798;97,90449;120,3996;81,44997;95,72117;104,1395;90,10616;103,8991;87,64303;105,8794;100,3858;100,4137;96,07805;100,5006;100,6913;105,3397;112,5101;92,95089;106,3338;105,3977;104,0818;;;
1;32,15171;;;;;;;;93,8142138;135,748458;;111,323474;115,3417;75,4994292;87,2535206;115,61206;97,34906;82,85211;97,48955;91,94403;;118,0011;;;;;;;;;170,6444;;;;100,293333;;102,482185;116,3201;95,4625;122,4982;121,803;106,2579;107,8799;87,01653;76,66754;92,77409;135,3663;96,29268;96,58035;112,7866;106,3629;118,2691;118,473;80,70195;104,1117;102,1166;110,3512;;;
2;76,34051;;;;;;;;100,50972;78,1126437;;100,295263;124,6436;78,5242801;105,455989;135,058234;93,95053;101,4351;95,06135;99,87887;;131,6751;;;;;;;;;117,9729;;;;141,04547;;110,198238;111,0682;127,2039;107,9531;120,6786;115,7533;105,5875;107,8675;108,8702;102,5054;124,6913;97,82887;114,6975;111,5302;103,3919;96,66848;108,4063;99,73806;110,3024;98,2974;124,4442;;;
3;83,37302;;;;;;;;101,558278;43,3689526;;88,3354013;96,42645;98,7583978;89,2937756;111,622726;101,7426;90,65292;104,0925;96,11524;;105,6239;;;;;;;;;131,7879;;;;108,308344;;104,313866;105,7408;91,85328;137,1383;118,4637;93,19474;86,21094;118,1196;136,2961;107,8049;111,2876;90,56583;107,0991;135,2136;97,39665;121,3796;86,40532;92,80903;108,161;105,7779;125,5565;;;
4;96,48817;;;;;;;;98,2063769;78,6009856;;87,3363555;70,96717;102,040818;79,8364408;123,385199;111,5635;85,08131;77,7919;109,7146;;97,06152;;;;;;;;;97,99461;;;;98,7413151;;98,9635979;106,776;132,1124;89,05513;116,4376;101,5043;102,6631;128,3583;111,615;112,7858;129,9829;98,33748;106,4621;117,0287;98,58417;109,2253;107,6038;104,5687;105,8316;96,18586;126,7627;;;
5;72,43229;;;;;;;;96,2336926;90,4173569;;89,7379251;65,15673;70,5614646;68,1168492;102,702278;98,77838;90,90109;107,3626;100,9543;;116,8646;;;;;;;;;111,634;;;;141,515596;;118,172998;111,8537;86,65058;95,04673;135,2395;104,2659;81,01788;120,7906;82,21479;101,2026;129,1971;96,30815;101,1539;138,7413;100,6858;113,2854;109,5011;97,34814;118,7833;98,77629;141,0265;;;
