;Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31)
-4;97,73689;114,4026;126,952;;99,9569;99,04429;98,19769;98,28538;100,0174;86,12652;98,25483;92,59259;108,4906;103,5387;;;;;;;;;;;;;;;;;;73,53952;102,6919;96,45654;85,66272;107,6699;97,33994;85,59493;104,8626;102,0372;90,86916;94,9845;92,38581;104,3065;100,3238;87,14573;98,1272;102,5194;97,63571;101,7841;103,6507;107,6374;95,34368;95,63164;94,31138;96,77419;112,3482;106,2176;96,77419;112,3482;106,2176;102,4845
-3;103,1831;106,6892;100,1011;;102,0598;96,77252;102,2981;101,2547;91,68354;108,5787;101,6747;85,18519;112,2642;100,2621;;;;;;;;;;;;;;;;;;102,0118;102,3708;94,239;91,95521;91,2195;96,4413;90,33861;97,42497;98,92234;96,75258;94,54897;99,12878;98,93756;98,21972;98,91275;100,5722;111,0768;99,29248;81,85801;93,12501;97,39908;117,5166;92,08973;95,80838;90,05376;91,09312;101,0363;90,05376;91,09312;101,0363;93,1677
-2;97,69476;87,54705;114,5052;;94,88198;96,88418;96,27;112,4123;90,08329;89,27282;102,354;105,5556;83,01887;102,8834;;;;;;;;;;;;;;;;;;93,45745;99,01114;101,1146;91,58223;109,6235;100,8717;95,98745;92,9116;106,1542;98,82725;101,0753;102,0729;100,7999;104,4869;102,2904;96,26833;94,24614;99,25268;97,79249;94,14187;99,87268;95,34368;102,7155;89,82036;104,8387;97,16599;129,5337;104,8387;97,16599;129,5337;109,7308
-1;105,7496;91,83145;85,1869;;97,88927;103,6158;103,6174;93,6244;105,1237;105,4397;100,046;100;104,717;97,64089;;;;;;;;;;;;;;;;;;121,7633;94,04144;104,6182;121,6995;96,13751;101,1319;104,4729;102,6164;98,18987;108,7779;102,6709;103,7423;97,46801;96,69905;104,1457;99,47047;93,98414;101,1879;107,207;104,1138;95,2363;96,45233;103,3058;102,0459;98,11828;97,16599;82,90155;98,11828;97,16599;82,90155;97,30849
0;95,6356;99,52971;73,25487;;105,212;103,6832;99,61684;94,42318;113,0921;110,5822;97,67045;116,6667;91,50943;95,67497;;;;;;;;;;;;;;;;;;109,2279;101,8847;103,5716;109,1003;95,3496;104,2152;123,6062;102,1844;94,69636;104,7731;106,7203;102,6702;98,48798;100,2705;107,5054;105,5618;98,17352;102,6312;111,3583;104,9686;99,85456;95,34368;106,2574;118,014;110,2151;102,2267;80,31088;110,2151;102,2267;80,31088;97,30849
1;91,26348;116,3532;115,6728;;86,73629;109,0178;95,96582;106,3262;116,4221;101,4718;96,87968;94,44444;88,67925;127,7851;;;;;;;;;;;;;;;;;;119,347;95,54896;90,37702;96,24389;111,1416;99,14337;118,9534;105,8915;107,5709;101,5469;98,36887;92,30308;105,4309;96,86714;105,1413;97,32403;107,4657;111,379;119,9822;107,6163;100,6354;96,45233;110,3896;101,0479;106,1828;107,2874;103,6269;106,1828;107,2874;103,6269;126,294
2;93,79714;115,7969;91,26579;;91,66399;104,5588;107,61;103,128;110,3026;100,7936;100,166;111,1111;74,5283;104,194;;;;;;;;;;;;;;;;;;96,45438;106,1188;93,26188;116,9978;106,1084;103,1377;144,6816;128,9662;98,26078;108,4363;101,1614;102,9374;101,2208;92,0013;120,5579;102,3018;122,8864;93,49729;107,881;97,56399;97,2718;78,71397;103,8961;109,2814;102,1505;108,2996;142,487;102,1505;108,2996;142,487;123,1884
3;100,0902;112,7746;101,1784;;103,8942;96,72535;95,39862;106,4783;110,4653;92,95704;93,64395;105,5556;116,0377;121,232;;;;;;;;;;;;;;;;;;75,23974;109,7175;84,36085;112,4247;77,46149;94,33821;161,8168;149,9099;108,7683;113,7247;119,3315;99,84148;84,89466;97,21255;118,6334;131,9719;105,5033;98,4295;109,1048;105,0876;97,93463;80,93126;107,438;106,2874;118,2796;97,16599;150,2591;118,2796;97,16599;150,2591;104,5549
4;85,83238;115,5865;123,595;;84,74599;85,31941;103,4034;105,5651;106,1884;122,0382;99,3604;103,7037;97,16981;114,0236;;;;;;;;;;;;;;;;;;98,21461;102,3114;84,75046;96,4253;80,82808;101,9506;141,1718;156,4025;109,4292;115,2766;119,7193;101,7341;89,63352;80,26941;96,60327;94,83681;100,4339;97,18246;108,9653;107,8306;94,15445;86,4745;104,4864;103,7924;127,6882;105,2632;137,3057;127,6882;105,2632;137,3057;119,0476
5;97,8569;110,1744;90,09189;;77,75254;94,16345;95,8736;104,2071;118,0081;110,8729;95,25616;116,6667;109,434;123,1979;;;;;;;;;;;;;;;;;;124,0161;111,0224;94,96351;82,36445;86,40201;96,628;136,1577;179,5767;103,9974;118,3058;114,4639;100,8812;91,11683;83,98017;109,5032;109,9826;93,22028;94,05659;109,3024;101,4005;94,436;66,51885;103,3058;115,2695;104,8387;116,3968;132,1244;104,8387;116,3968;132,1244;92,13251
