;Control (n=8);Control (n=8);Control (n=8);Control (n=8);Control (n=8);Control (n=8);Control (n=8);Control (n=8);Control (n=8);Control (n=8);Control (n=8);Control (n=8);GABAzine (n=8);GABAzine (n=8);GABAzine (n=8);GABAzine (n=8);GABAzine (n=8);GABAzine (n=8);GABAzine (n=8);GABAzine (n=8);GABAzine (n=8);GABAzine (n=8);GABAzine (n=8);GABAzine (n=8)
-4;;;85,3610753;100,072;99,08386;92,53701;;84,56463;101,9608;94,32673;83,62989;;;;91,8599649;101,523;93,90451;95,75006;;97,38079;92,14744;82,68482;88,55886;
-3;;;108,728942;100,9149;99,5325;100,7624;;108,7772;87,2549;90,56733;99,64413;;;;96,7569697;81,77721;105,7451;92,89863;;95,65072;96,15385;95,33074;101,7602;
-2;;;108,628439;108,3393;102,341;96,50075;;106,6637;100,9804;103,8961;96,08541;;;;97,1446073;111,5482;97,6606;106,7397;;100,9992;96,95513;105,5447;92,40924;
-1;;;84,7714487;97,72291;96,61883;104,8022;;95,91282;106,8627;104,2379;99,64413;;;;115,617745;112,6735;108,0242;107,5407;;98,96642;100,1603;120,1362;110,011;
0;;;112,510096;92,95089;102,4238;105,3977;;104,0817;102,9412;106,972;120,9964;;;;98,6207131;92,47805;94,66554;97,0709;;107,0029;114,5833;96,3035;107,2607;
1;;;118,473007;80,70195;101,6188;102,1166;;110,3515;103,9216;109,0226;104,9822;;;;97,3793152;131,2141;92,01562;106,8894;;101,6566;101,7628;97,27626;124,3124;
2;;;108,406343;99,73806;104,9459;98,2974;;124,4441;107,8431;105,6049;112,0996;;;;98,1498252;103,8332;90,69428;124,7883;;104,4912;102,5641;123,0545;98,45985;
3;;;86,4053227;92,80903;105,2626;105,7779;;125,5559;119,6078;107,9973;122,7758;;;;95,1154673;132,1545;103,0304;95,91776;;100,3662;98,95833;105,5447;96,80968;
4;;;107,603776;104,5687;109,1608;96,18586;;126,7627;110,7843;119,6172;109,4306;;;;92,7698337;121,885;138,298;101,3906;;98,95049;99,75962;118,1907;94,60946;
5;;;109,501058;97,34814;106,7537;98,77629;;141,0268;94,11765;126,4525;105,8719;;;;118,283534;132,6033;86,07829;98,97128;;101,9826;108,1731;116,2451;99,0099;
6;;;101,150038;86,9613;104,3625;98,32454;;122,2541;104,902;122,6931;102,3132;;;;101,576225;133,1355;92,77959;115,6136;;94,95084;95,35256;112,3541;103,4103;
7;;;79,4897226;86,28829;111,7693;96,59249;;142,6532;114,7059;124,7437;117,4377;;;;139,823308;126,1965;104,2445;84,57535;;103,0818;103,3654;124,5136;112,7613;
8;;;117,016509;95,04758;107,5632;103,127;;121,2035;115,6863;124,0602;101,4235;;;;137,659939;124,6417;111,7178;110,0475;;89,26148;99,75962;135,214;111,6612;
9;;;127,633409;92,81238;114,0631;98,01007;;149,064;112,7451;132,946;108,5409;;;;118,961263;151,008;87,7437;77,80839;;103,9516;94,15064;135,214;94,60946;
10;;;80,7605385;93,40609;116,0997;97,9104;;120,5143;100,9804;130,5537;101,4235;;;;99,5272774;117,5709;80,56033;83,27282;;104,848;107,3718;127,9183;99,55996;
11;;;94,1573518;106,6581;113,0676;96,704;;125,9847;120,5882;126,1107;114,7687;;;;109,301847;127,513;81,46739;67,87785;;100,6434;107,3718;132,2957;108,3608;
12;;;93,9278031;102,7837;120,4719;104,4946;;131,2132;123,5294;122,6931;109,4306;;;;98,5609321;132,1833;78,61382;79,37139;;94,36034;98,95833;126,4591;121,0121;
13;;;100,231847;101,403;127,8389;104,2605;;153,8758;109,8039;125,769;96,97509;;;;118,54942;123,0705;65,04293;85,6951;;105,3822;86,53846;124,0272;115,5116;
14;;;100,08428;106,471;128,6227;105,511;;152,7854;106,8627;110,3896;104,9822;;;;108,259221;147,7411;74,9392;102,0367;;100,38;91,34615;117,2179;105,0605;
15;;;96,90021;98,4758;127,2409;103,3375;;132,3771;116,6667;128,8448;123,6655;;;;93,3217713;137,2908;75,34008;78,93977;;98,67648;92,14744;129,3774;116,0616;
16;;;86,0412005;99,90002;119,7375;108,0941;;132,6405;107,8431;111,7567;98,75445;;;;80,2597961;146,9859;79,93007;72,38058;;104,4837;97,75641;130,8366;128,7129;
17;;;87,1037612;102,0045;120,1539;95,23157;;163,423;110,7843;116,8831;118,3274;;;;109,568094;138,2981;87,00626;89,55596;;101,7585;100,9615;134,2412;132,5633;
18;;;77,6929487;97,1979;118,2247;102,8237;;110,2412;108,8235;116,1996;137,9004;;;;110,123332;137,9077;90,37594;102,2956;;106,4241;99,75962;123,5409;135,8636;
19;;;104,790857;95,9658;116,5912;102,1615;;124,8178;114,7059;118,9337;120,1068;;;;94,1872625;149,5128;112,3945;76,679;;110,7413;101,3622;98,24903;138,0638;
20;;;99,1081698;100,0653;111,7626;103,6546;;121,473;117,6471;136,3636;112,9893;;;;129,596923;148,0443;101,0528;72,41249;;113,1574;105,7692;112,3541;123,7624;
21;;;84,2471905;109,6758;117,0192;110,8605;;149,6398;111,7647;127,4778;133,452;;;;118,561523;139,7828;93,90183;89,1649;;109,0505;106,5705;105,0584;125,9626;
22;;;106,500545;96,12497;119,1566;104,2815;;107,9318;129,4118;123,3766;147,6868;;;;140,664233;140,6132;96,15302;89,26062;;111,9881;104,5673;117,7043;133,1133;
23;;;95,3270202;106,3688;118,3495;106,6907;;136,4906;125,4902;133,9713;132,5623;;;;137,601998;159,0696;104,8089;81,78551;;104,1757;104,1667;121,5953;140,264;
24;;;91,994319;95,81164;114,8093;117,3335;;117,3718;140,1961;115,8578;125,4448;;;;118,306639;139,3076;100,4729;92,99509;;102,7091;107,7724;120,6226;133,1133;
25;;;100,229503;96,98175;119,3711;105,9161;;152,13;116,6667;131,2372;133,452;;;;147,27094;177,8053;80,45421;72,18617;;99,21175;108,5737;117,7043;142,4642;
26;;;87,4099717;105,5489;114,9063;102,894;;132,9468;132,3529;138,4142;132,5623;;;;153,371206;174,5298;89,12936;103,5579;;104,9266;100,9615;137,1595;136,4136;
27;;;99,5753555;104,2018;119,3535;103,6127;;144,2735;126,4706;127,8195;128,1139;;;;142,624419;157,694;75,66217;69,76734;;110,1805;100,1603;146,4008;156,2156;
28;;;95,7313937;119,3891;121,1701;111,3008;;141,523;124,5098;134,9966;130,7829;;;;123,904474;179,4934;94,71806;84,83927;;108,4483;109,375;140,0778;144,1144;
29;;;88,7404077;109,6211;121,6132;105,2737;;125,8316;130,3922;120,6425;132,5623;;;;159,091525;176,0482;105,8352;69,06586;;103,3314;98,95833;124,0272;140,264;
30;;;94,0934712;120,2442;114,0739;108,1708;;130,2392;126,4706;117,2249;134,3416;;;;134,877525;156,8031;92,71126;95,94868;;106,748;105,7692;128,8911;149,615;
31;;;85,6255444;99,10134;119,6902;114,3577;;115,0255;142,1569;142,1736;138,79;;;;147,032568;164,4267;108,6673;68,95258;;101,5822;102,1635;131,323;155,1155;
32;;;97,0650261;100,8953;114,2041;111,0416;;141,0605;138,2353;119,6172;144,1281;;;;129,694837;162,7578;97,84497;104,9069;;104,7461;110,5769;131,323;161,7162;
33;;;98,1020371;104,1102;115,3064;103,7007;;119,7853;141,1765;122,3513;133,452;;;;144,388048;156,2363;100,914;107,6159;;102,3703;102,9647;132,7821;143,0143;
34;;;87,0677746;103,9538;117,2755;105,4667;;106,3636;142,1569;111,7567;150,3559;;;;136,089216;160,783;91,63591;74,74301;;109,4944;108,1731;127,4319;171,0671;
35;;;83,4925402;104,5168;116,634;108,9302;;95,47175;148,0392;123,3766;149,4662;;;;142,869769;159,5459;97,55904;78,10373;;114,7834;98,55769;146,8872;154,0154;
36;;;108,563278;101,3818;116,7357;112,8592;;108,2626;154,902;98,42789;141,4591;;;;150,90235;155,9582;94,79068;99,29604;;114,4637;102,5641;136,1868;182,0682;
37;;;98,7515002;109,4636;118,7898;112,7445;;123,9846;144,1176;116,1996;153,0249;;;;156,492112;148,7957;110,1663;83,6844;;115,8635;96,55449;137,1595;187,0187;
38;;;124,056255;108,5661;119,5096;97,08947;;125,2986;154,902;100,1367;130,7829;;;;157,056884;157,3823;108,9878;83,10783;;110,6829;104,5673;123,0545;149,615;
39;;;126,174352;112,1707;118,1928;103,4293;;149,6766;154,902;103,8961;135,2313;;;;177,876384;157,3549;116,1026;79,1698;;111,2319;110,9776;138,6187;160,6161;
