;Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);Control (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10);AM4113 (n=10)
-4;104,8624;102,0372;;90,86916;94,9845;98,1272;103,6507;107,6374;96,77419;112,3482;102,4845;;85,48427;98,67057;;98,79408;100,9345;97,5289;79,50455;98,05783;87,93103;89,90826;101,8041;
-3;97,42593;98,92234;;96,75258;94,54897;100,5722;93,12501;97,39908;90,05376;91,09312;93,1677;;110,8708;95,2361;;102,5214;94,89046;95,75402;94,68616;100,6195;96,55172;101,8349;99,2268;
-2;92,91007;106,1542;;98,82725;101,0753;96,26833;94,14187;99,87268;104,8387;97,16599;109,7308;;102,8047;108,4801;;99,16045;100,2619;114,8124;103,6859;93,62569;115,5172;95,41284;101,8041;
-1;102,6167;98,18987;;108,7779;102,6709;99,47047;104,1138;95,2363;98,11828;97,16599;97,30849;;106,1127;113,8327;;94,59085;101,0822;89,77538;99,8492;101,6096;98,27586;96,33028;98,58247;
0;102,1848;94,69636;;104,7731;106,7203;105,5618;104,9686;99,85456;110,2151;102,2267;97,30849;;94,72758;83,78056;;104,9333;102,831;102,1293;122,2742;106,0874;101,7241;116,5138;98,58247;
1;105,8907;107,5709;;101,5469;98,36887;97,32403;107,6163;100,6354;106,1828;107,2874;126,294;;85,37501;103,8516;;108,6448;92,40658;90,8524;125,373;106,833;110,3448;111,0092;113,4021;
2;128,966;98,26078;;108,4363;101,1614;102,3018;97,56399;97,2718;102,1505;108,2996;123,1884;;98,60612;88,62957;;110,981;105,4351;72,70539;109,0415;102,2464;105,1724;93,57798;99,87113;
3;149,9108;108,7683;;113,7247;119,3315;131,9719;105,0876;97,93463;118,2796;97,16599;104,5549;;108,5045;114,3065;;114,3423;104,8996;88,59443;110,9399;107,9738;122,4138;87,15596;110,1804;
4;156,4014;109,4292;;115,2766;119,7193;94,83681;107,8306;94,15445;127,6882;105,2632;119,0476;;101,3034;107,0314;;107,3105;112,0571;88,402;120,9653;110,0621;134,4828;80,73394;105,6701;
5;179,5767;103,9974;;118,3058;114,4639;109,9826;101,4005;94,436;104,8387;116,3968;92,13251;;87,10444;68,69907;;103,7005;109,0444;91,63389;126,1057;103,7252;103,4483;86,23853;118,5567;
6;188,9281;96,97237;;103,6299;121,011;98,9764;100,9017;88,59993;115,5914;117,4089;98,34369;;96,55027;63,37554;;107,2681;102,7804;100,5911;132,3256;98,88973;136,2069;93,57798;126,2887;
7;202,8675;112,6449;;110,141;106,237;89,38056;104,8821;99,3817;133,0645;113,3603;113,8716;;90,90755;89,98349;;105,0532;101,1549;91,45039;137,8065;114,8763;110,3448;103,6697;117,9124;
8;211,1122;115,3781;;115,5002;124,2144;114,259;99,30411;98,09627;115,5914;110,3239;109,7308;;106,7504;105,6865;;95,03556;119,0705;98,47195;120,0467;110,285;110,3448;88,07339;132,0876;
9;161,8986;106,3754;;121,1545;125,1666;114,2147;98,6363;86,697;116,9355;148,7854;128,3644;;100,9952;71,50106;;101,6861;116,0107;101,0202;131,5474;104,1344;120,6897;111,9266;125,6443;
10;124,9137;116,7152;;105,513;127,6207;90,6816;104,3059;87,72693;115,5914;120,4453;93,1677;;106,5127;81,07979;;105,3051;121,5415;96,86108;119,2867;100,2544;125,8621;84,40367;125,6443;
11;123,4116;124,3923;;122,3416;119,5313;106,6969;110,6819;90,85467;125;127,5304;114,9068;;97,57614;107,3435;;105,1971;110,3092;93,98077;131,5167;101,8863;84,48276;82,56881;131,4433;
12;136,6406;112,5802;;116,6093;114,9899;99,89908;103,7117;84,52025;151,8817;139,6761;115,942;;99,54101;112,5916;;101,1522;117,823;90,37337;144,8913;104,5324;105,1724;89,90826;132,732;
13;132,9088;105,4199;;105,8491;125,803;92,83395;115,6799;100,9685;143,8172;135,6275;109,7308;;110,5869;154,2455;;103,0781;99,24379;97,44121;147,2397;109,0927;115,5172;86,23853;124,3557;
14;132,4116;111,362;;102,5339;134,7102;76,30262;105,9978;91,11697;104,8387;144,7368;114,9068;;122,3396;96,91562;;101,6263;111,0634;89,79811;140,625;97,26031;91,37931;90,82569;137,2423;
15;129,177;110,6756;;124,6151;121,7583;81,95058;113,1988;90,39957;102,1505;152,834;91,09731;;103,8717;80,25841;;96,78699;117,6668;96,03779;130,5547;92,46959;67,24138;106,422;123,7113;
16;129,7638;115,2396;;101,403;131,6705;78,53858;116,2537;92,33158;98,11828;165,9919;103,5197;;100,8032;92,65912;;85,04931;115,5667;84,51408;120,6393;108,0995;132,7586;83,48624;129,5103;
