;Control (n=9);Control (n=9);Control (n=9);Control (n=9);Control (n=9);Control (n=9);Control (n=9);Control (n=9);Control (n=9);Control (n=9);Control (n=9);Control (n=9);GABAzine (n=9);GABAzine (n=9);GABAzine (n=9);GABAzine (n=9);GABAzine (n=9);GABAzine (n=9);GABAzine (n=9);GABAzine (n=9);GABAzine (n=9);GABAzine (n=9);GABAzine (n=9);GABAzine (n=9)
-4;73,53952;98,1272;102,519396;99,74528;101,7841;103,6507;107,6374;95,63164;94,31138;112,3482;;;98,78555;117,8196;100,833474;91,91709;93,26052;105,1715;111,6242;106,576;102,9767;99,7807;;
-3;102,0118;100,5722;111,07681;97,33112;81,85801;93,12501;97,39908;92,08973;95,80838;91,09312;;;97,70773;96,92413;96,2064679;105,5535;101,9088;102,7855;98,68255;83,90023;92,92035;78,94737;;
-2;93,45745;96,26833;94,2461367;107,0655;97,79249;94,14187;99,87268;102,7155;89,82036;97,16599;;;111,2128;96,34476;103,060751;110,0015;101,4984;97,09498;78,56753;111,1111;106,5969;120,614;;
-1;121,7633;99,47047;93,9841359;103,8053;107,207;104,1138;95,2363;103,3058;102,0459;97,16599;;;96,56043;95,57348;96,5426908;93,95551;100,2273;92,68102;102,3377;83,90023;98,55189;104,1667;;
0;109,2279;105,5618;98,1735217;92,05287;111,3583;104,9686;99,85456;106,2574;118,014;102,2267;;;95,73349;93,33807;103,356616;98,57244;103,105;102,267;108,788;114,5125;98,95414;96,49123;;
1;119,347;97,32403;107,465728;107,9115;119,9822;107,6163;100,6354;110,3896;101,0479;107,2874;;;90,35018;91,73288;109,062279;100,5404;97,78561;103,8176;106,0364;102,0408;98,14964;83,33333;;
2;96,45438;102,3018;122,886372;89,51283;107,881;97,56399;97,2718;103,8961;109,2814;108,2996;;;97,09403;92,62781;117,075054;96,10564;105,3279;102,7111;119,1867;99,77324;96,13837;81,14035;;
3;75,23974;131,9719;105,503347;95,308;109,1048;105,0876;97,93463;107,438;106,2874;97,16599;;;91,4584;108,4471;102,62087;92,00252;112,0951;106,9934;110,8295;109,9773;104,9879;91,00877;;
4;98,21461;94,83681;100,433871;95,15396;108,9653;107,8306;94,15445;104,4864;103,7924;105,2632;;;99,65591;96,57534;89,642823;94,62909;107,5311;92,62591;101,2612;139,4558;84,47305;84,42982;;
5;124,0161;109,9826;93,2202828;88,41331;109,3024;101,4005;94,436;103,3058;115,2695;116,3968;;;92,88745;110,8981;92,8175055;99,92924;109,8138;96,19957;127,0989;113,3787;102,1722;107,4561;;
6;121,0172;98,9764;75,7569903;98,69768;88,82303;100,9017;88,59993;110,3896;115,2695;117,4089;;;76,39593;114,1856;95,7314521;95,73711;120,812;107,5503;109,2005;117,9138;92,11585;110,7456;;
7;174,4327;89,38056;78,8895649;101,4586;103,6111;104,8821;99,3817;108,6187;119,012;113,3603;;;63,3077;103,5619;91,9119051;102,4942;101,5789;105,3841;110,3762;109,9773;99,3564;95,39474;;
8;148,9505;114,259;86,8724852;100,0088;111,9169;99,30411;98,09627;100,9445;108,5329;110,3239;;;65,42668;90,28028;99,8099948;109,606;107,947;112,3968;90,40156;113,3787;95,73612;88,81579;;
9;111,8358;114,2147;85,131371;105,0625;92,76719;98,6363;86,697;102,7155;103,5429;148,7854;;;102,7741;100,288;102,068043;105,5837;111,3861;107,4764;79,71535;109,9773;88,89783;106,3596;;
10;100,0639;90,6816;99,9079629;101,7331;94,67005;104,3059;87,72693;109,209;101,7964;120,4453;;;99,51986;91,62392;90,788832;110,5762;121,368;111,5398;95,92471;128,1179;87,69107;121,7105;;
11;144,9995;106,6969;93,2343339;105,9312;109,0499;110,6819;90,85467;138,7249;114,2715;127,5304;;;82,00262;101,1737;96,4561701;102,6276;117,1561;123,6583;69,21849;102,0408;90,50684;100,8772;;
12;127,6953;99,89908;106,388432;104,549;128,1504;103,7117;84,52025;117,4734;94,81038;139,6761;;;84,42169;107,6597;95,4477801;108,6409;105,345;131,7232;80,52148;111,1111;84,8753;126,0965;;
13;125,5073;92,83395;113,229025;91,08382;127,1889;115,6799;100,9685;119,8347;106,7864;135,6275;;;80,12054;88,70358;97,0339637;108,2828;116,0624;118,3354;112,8033;100,907;89,30008;101,9737;;
14;168,2075;76,30262;119,571585;86,08397;125,1924;105,9978;91,11697;113,3412;97,55489;144,7368;;;55,24625;100,4177;87,6254767;104,7481;110,8488;101,987;112,275;113,3787;98,14964;114,0351;;
15;181,8684;81,95058;122,208027;89,371;123,6882;113,1988;90,39957;119,8347;114,022;152,834;;;62,01567;73,88325;84,8392805;101,387;113,5267;107,4852;101,8323;125,8503;99,75865;114,0351;;
16;200,3735;78,53858;121,21314;74,33889;136,6299;116,2537;92,33158;104,4864;98,55289;165,9919;;;53,65701;77,08774;91,7342125;100,1907;107,5618;107,9368;84,61576;130,3855;89,30008;109,6491;;
17;209,2501;92,67517;121,496336;63,11635;122,645;121,8614;98,61521;115,7025;117,2655;172,0648;;;67,65613;71,14217;89,1483573;81,84874;108,3287;116,1779;112,401;90,70295;89,70233;108,5526;;
18;244,3714;82,93154;122,473597;71,18471;145,7068;118,1401;91,26993;108,6187;110,0299;177,1255;;;66,55419;70,14732;84,8154729;77,68297;101,2946;106,8858;105,2017;128,1179;86,08206;101,9737;;
19;228,2555;75,96902;128,003954;63,62853;130,3349;127,493;88,9525;106,2574;123,503;175,1012;;;68,0889;64,67893;82,3515636;73,73051;109,3396;105,836;129,7221;95,2381;92,11585;112,9386;;
20;224,3819;81,08365;136,514686;66,78221;117,3592;125,2404;101,0612;100,3542;120,509;182,1862;;;54,57128;83,21213;90,0824135;84,43165;102,2102;111,8478;105,7143;104,3084;90,90909;111,8421;;
21;177,5767;77,60873;122,161817;60,87896;127,3329;135,3568;88,72419;119,2444;111,7764;183,1984;;;46,76408;72,78126;86,7942041;96,54806;118,2093;119,2857;120,3032;94,10431;90,50684;132,6754;;
22;188,5358;74,45896;131,244424;59,32935;143,2536;120,0709;94,02433;110,9799;117,016;179,1498;;;49,44367;73,25506;92,5881335;102,7181;112,0348;127,0339;114,1509;103,1746;86,88656;112,9386;;
23;214,9479;89,76104;126,679422;60,87829;146,8497;122,627;99,06313;96,81228;127,2455;184,2105;;;68,09518;87,17841;105,319959;96,34577;104,2771;120,4348;94,68992;100,907;92,11585;122,807;;
24;252,1033;80,188;128,352416;76,92814;146,9407;134,3742;97,9554;104,4864;105,7884;187,247;;;71,70592;85,1044;91,3616928;90,3835;116,6353;126,9026;118,9044;82,76644;92,11585;112,9386;;
25;233,9359;82,15792;114,763395;74,73724;136,6206;133,4728;91,89971;106,2574;102,7944;184,2105;;;51,87528;87,02764;101,594773;81,30867;114,8782;121,8505;124,1585;85,03401;83,66854;132,6754;;
26;257,3094;72,96578;109,602939;73,13334;155,216;130,8661;92,36161;110,3896;118,014;197,3684;;;58,39527;81,18785;95,6292494;89,46814;106,6276;132,8499;97,2256;88,43537;78,03701;114,0351;;
27;202,3137;74,82296;113,655608;73,0553;140,9757;132,8556;94,36632;112,1606;110,7784;178,1377;;;82,78421;98,55169;105,751708;82,53424;110,489;117,6234;123,12;91,83673;97,74739;101,9737;;
28;184,6437;66,30815;128,099943;71,48974;154,2248;130,4803;95,6678;138,1346;106,2874;186,2348;;;71,18438;84,93147;112,904471;76,98486;120,7377;117,4249;97,95297;113,3787;86,48431;129,386;;
29;259,6619;81,6761;130,459375;79,03608;151,2262;132,2558;87,89461;150,5313;121,507;199,3927;;;40,96826;112,6814;99,9598186;78,12394;106,1129;131,977;109,0755;99,77324;74,81899;106,3596;;
30;230,8944;83,88251;135,800856;79,64106;152,4403;128,5074;89,93011;161,157;113,024;199,3927;;;63,27055;98,69139;116,373859;80,38419;126,1668;122,4527;110,9969;129,2517;92,11585;114,0351;;
31;254,6735;91,50039;116,047436;67,41739;155,0495;129,8024;89,05522;195,9858;115,2695;200,4049;;;66,33949;97,07513;116,133163;78,12265;104,2876;115,3722;87,45511;98,63946;84,0708;106,3596;;
32;229,8803;99,68202;108,147648;55,59953;171,638;145,0035;94,82633;191,8536;100,7984;209,5142;;;73,9624;96,17613;94,3215143;107,1273;125,905;95,5437;82,94509;82,76644;86,48431;116,2281;;
33;232,9333;113,9504;114,064574;61,78729;192,3474;126,8983;94,58557;217,8276;100,0499;202,4291;;;86,66031;86,25161;109,49809;78,96755;111,9188;91,63654;94,37855;85,03401;81,65728;100,8772;;
34;182,4123;100,1807;115,178786;52,78024;189,8173;137,0334;94,86675;241,4404;102,5449;209,5142;;;85,89561;86,90037;94,6577432;99,62966;104,5181;107,0526;96,27435;87,30159;81,65728;107,4561;;
35;249,8602;96,0327;119,800955;53,21235;189,3083;139,2911;99,69442;233,7662;116,7665;185,2227;;;91,86511;96,21953;114,71451;79,36653;119,26;106,6646;91,60529;71,42857;80,85278;109,6491;;
36;197,6214;106,9688;137,744187;57,07653;;135,1001;94,44979;236,1275;93,06387;213,5628;;;77,18669;99,12722;107,535618;86,48944;109,6242;103,1483;109,3176;99,77324;85,27755;98,68421;;
